transaction_id,user_id,device_id,session_id,timestamp,card_bin,card_last4,is_international_card,amount,currency,transaction_type,merchant_category,ip_address,is_vpn_or_proxy,latitude,longitude,network_type,user_agent,sdk_version,device_os,device_model,is_rooted_device,is_emulator,battery_level,account_age_days,kyc_level,avg_monthly_amount,tx_count_last_30_days,failed_tx_last_7_days,time_since_last_tx_minutes,device_tx_last_24h,session_duration_seconds,form_fill_time_seconds,paste_count,is_fraud
983f6111-3a08-4ed3-b209-40940d1e7e09,2b0796e1-6e8c-429e-9abc-254cbbfd53f1,device-gloD-eNjh,11f4cb9c-eea1-464a-9392-c3113b2cdae0,2026-01-26T10:15:45Z,566662,1795,False,448.79,MXN,TOP_UP,FINANCIAL_SERVICES,114.231.234.241,False,23.1354,-88.1026,wifi,WalletPlux/3.1.2 (Android 12; Xiaomi 13),android-3.1.1,android,Xiaomi 13,False,False,65,865,full,5716.63,1,0,2677,1,91,46,0,0
da697106-5b16-4ea7-89d3-496fd58a7bd8,78f4df26-55c8-4785-ab5c-ad4463b9545b,device-DFvz-RjDJ,0f36e206-8825-4e56-8da1-85b51e99b3b9,2026-01-03T14:18:55Z,524810,8686,False,1171.3,MXN,TOP_UP,FINANCIAL_SERVICES,37.100.176.141,False,20.1978,-106.5925,wifi,WalletPlux/3.1.2 (Android 12; Xiaomi 13),android-3.1.4,android,Xiaomi 13,False,False,7,440,intermediate,5578.87,42,0,3292,1,122,15,1,0
8e45eddb-d2fc-4787-b771-32ec1eeae543,ce7fa2de-325d-45d3-af2a-d96994727629,device-SXNh-hhfN,7dd4bb64-c330-4737-9fb9-287f4595f449,2026-02-08T12:00:42Z,591444,6829,False,1182.22,COP,TOP_UP,TRANSFER,81.17.243.20,False,17.8343,-117.8524,wifi,WalletPlux/3.1.2 (iOS 16; iPhone 13),ios-3.1.4,ios,iPhone 13,False,False,37,1093,basic,2792.83,25,0,1861,0,137,58,0,0
45114bc3-80a9-43ea-9d5c-4bc330ac9071,7d6cdb94-75f9-47b2-b209-ebf39be7e5f9,device-RggU-Wqdr,c91f4513-ffcf-47c3-98a7-1efe1044b1f3,2026-02-20T17:53:37Z,593115,6819,False,283.03,COP,TOP_UP,WALLET,106.124.13.139,False,18.678,-91.7254,wifi,WalletPlux/3.1.2 (Android 14; Pixel 7),android-3.1.0,android,Pixel 7,False,False,6,1207,intermediate,1057.83,17,0,4371,0,146,56,0,0
8e56c394-768f-450d-b631-681d8c197537,d1873cbe-0cbb-44b3-af5e-dfe4c3fcf03d,device-WOdD-UnlQ,510d8713-eaca-45c6-af01-382698abc7ec,2026-01-23T02:31:44Z,585859,8398,False,1514.18,MXN,TOP_UP,TRANSFER,159.130.97.145,False,20.1341,-95.3943,cellular,WalletPlux/3.1.2 (iOS 16; iPhone 14 Pro),ios-3.1.3,ios,iPhone 14 Pro,False,False,9,381,full,3661.9,40,0,2306,1,101,40,0,0
822b4726-7eb4-44b8-91c7-dbd2f3826250,d4775695-3fe3-40dc-aef4-1617c49ee552,device-ZnpF-nkBa,f7be411a-438c-4bc3-a18a-b1b2f55f0b9b,2026-01-08T04:40:06Z,415334,5056,False,993.34,MXN,TOP_UP,TRANSFER,139.178.164.175,False,26.1947,-108.3583,wifi,WalletPlux/3.1.2 (Android 13; Xiaomi 13),android-3.1.4,android,Xiaomi 13,False,False,82,987,full,7783.43,48,0,2418,1,172,60,0,0
1ddc8916-8a37-4ce5-a1f2-e00efc1c436f,ba08e2d0-ed64-49e2-a662-e799253a7606,device-Ceij-iEtt,1e76adec-6eb0-4d83-96d5-84253760413a,2026-02-22T14:22:51Z,591982,8082,False,2099.71,USD,TOP_UP,WALLET,207.159.43.97,False,31.813,-91.5604,wifi,WalletPlux/3.1.2 (iOS 17; iPhone 15),ios-3.1.2,ios,iPhone 15,False,False,46,1463,intermediate,7956.96,44,0,1525,0,79,54,0,0
4b9ac700-1b3e-40fe-898e-301169d68785,35ab7504-160b-4ace-8f1d-03564aff5ffd,device-vWpQ-fnAy,30479075-9208-41a7-8c89-34a8384eb75c,2026-02-21T19:28:00Z,451012,9773,False,1532.25,MXN,TOP_UP,FINANCIAL_SERVICES,34.56.118.18,False,18.6574,-94.0679,wifi,WalletPlux/3.1.2 (iOS 16; iPhone 13),ios-3.1.2,ios,iPhone 13,False,False,47,995,intermediate,5608.46,49,0,5542,1,148,48,0,0
3fe669aa-d742-4be0-9541-536e9baae2ce,2028425f-de0c-455b-8704-7f9ae1e3a96a,device-grpR-akvm,363132dd-e5f8-4ca6-a1f9-a4185eb82f69,2026-01-28T11:34:04Z,445959,8893,False,965.9,MXN,TOP_UP,FINANCIAL_SERVICES,4.159.153.66,False,19.7083,-97.9015,wifi,WalletPlux/3.1.2 (Android 12; Xiaomi 13),android-3.1.0,android,Xiaomi 13,False,False,28,758,full,1656.93,3,0,6105,0,142,37,0,0
ed448c12-e564-4396-a4a0-f2e15e7a3324,802847d7-38b6-43a5-8bd2-3a473a85d1da,device-YypJ-aGCJ,bf480fd9-aefe-4b9e-91ca-4ee296640ebb,2026-02-07T04:28:36Z,472237,2847,False,1168.51,USD,TOP_UP,TRANSFER,54.251.250.27,False,17.9364,-104.8303,wifi,WalletPlux/3.1.2 (iOS 16; iPhone 13),ios-3.1.3,ios,iPhone 13,False,False,69,1378,intermediate,9558.67,6,0,1765,2,119,57,0,0
dec60e58-6647-477f-9d10-d5f3bb401ddf,86992f13-5724-44cc-a2d9-e3162e7e0d21,device-KbHa-aSCE,f3411af0-a565-46d8-a11d-d9886f62ec6a,2026-02-13T18:49:43Z,480415,3818,False,2905.16,MXN,TOP_UP,TRANSFER,58.233.154.162,False,17.1049,-90.0454,cellular,WalletPlux/3.1.2 (iOS 17; iPhone 15),ios-3.1.0,ios,iPhone 15,False,False,19,1331,basic,6910.77,24,0,4843,1,122,36,0,0
1f0e2e31-53c0-4961-9254-d16b3fcfe136,d5c4ef00-6205-4639-9a95-73bff344bf23,device-wmlM-qgaD,54136cab-883c-4783-b1bc-13cc7caa943c,2026-02-05T04:27:10Z,417142,8908,False,2837.99,MXN,TOP_UP,WALLET,95.61.40.157,False,30.4992,-91.9981,wifi,WalletPlux/3.1.2 (Android 12; Pixel 7),android-3.1.5,android,Pixel 7,False,False,69,625,intermediate,7401.25,44,0,8636,0,70,39,1,0
d7ca3328-668b-4595-a012-6d8fecc1fb2e,936d8972-9ba0-48c4-bd39-c6afe4d21cfa,device-ZNMT-rtCZ,78e266fa-d6b3-465a-b7ae-9012e852a9b0,2026-02-20T06:58:12Z,479565,6561,False,2181.57,USD,TOP_UP,TRANSFER,117.123.217.68,False,17.336,-104.7219,cellular,WalletPlux/3.1.2 (iOS 17; iPhone 15),ios-3.1.2,ios,iPhone 15,False,False,26,1075,full,9833.76,35,0,4601,2,160,49,0,0
636d9b46-2871-47f1-893a-87bc23bb800b,add98ce3-f415-48e9-8b96-5ebeb1cd0589,device-orFx-xTJW,a28c90ff-db72-4543-b6e4-d6fb78f098e1,2026-01-05T02:24:05Z,594450,9897,False,809.99,MXN,TOP_UP,FINANCIAL_SERVICES,82.115.180.46,False,26.653,-88.5744,cellular,WalletPlux/3.1.2 (iOS 16; iPhone 13),ios-3.1.2,ios,iPhone 13,False,False,57,390,full,5140.87,0,0,8834,1,128,30,0,0
a7bd94bc-f1bd-4951-88ce-14906f4bfb8d,ab0affa1-a93a-473f-ae83-a635b84b9679,device-IRoh-Rekz,e32b4259-f115-4bd8-a714-b4b5482f5a36,2026-02-17T01:27:44Z,595374,7578,False,237.73,COP,TOP_UP,FINANCIAL_SERVICES,134.67.164.185,False,24.7422,-93.9973,cellular,WalletPlux/3.1.2 (iOS 17; iPhone 15),ios-3.1.0,ios,iPhone 15,False,False,13,873,full,4940.31,7,0,519,1,96,60,0,0
e0f6e261-aca1-4bc4-bd17-dbc34b96fb35,c3aceee9-b88e-480c-a0c6-0c01daa71748,device-vyLV-nkOz,fc7e7edd-bd98-408e-92ef-f017c65de1ec,2026-02-01T10:32:10Z,494170,2289,False,2096.71,MXN,TOP_UP,WALLET,148.69.115.101,False,25.7117,-115.1136,wifi,WalletPlux/3.1.2 (iOS 17; iPhone 14 Pro),ios-3.1.2,ios,iPhone 14 Pro,False,False,95,104,basic,4899.93,8,0,2021,2,113,55,0,0
8cc7059b-fa1a-493c-9e58-8458e9a4a124,c1ff1b9b-aee9-4965-9ad9-084a109e1782,device-mznu-PGUq,173558d4-466a-4161-ba0c-c82f6921096c,2025-12-30T12:48:05Z,461975,2108,False,1463.24,MXN,TOP_UP,TRANSFER,220.217.84.234,False,20.3565,-88.0814,cellular,WalletPlux/3.1.2 (Android 12; Galaxy S23),android-3.1.0,android,Galaxy S23,False,False,84,726,basic,9460.81,35,0,5389,1,155,35,0,0
f17d9fd6-c231-4b47-8ae3-217875ba0319,074916f1-42a9-4388-b78d-29f10ed01124,device-vFwB-AhQd,2e095361-b3e7-4f88-b306-a8015b88bb0e,2025-12-31T06:29:44Z,544128,6443,False,2018.93,MXN,TOP_UP,WALLET,134.146.210.77,False,20.844,-103.0659,wifi,WalletPlux/3.1.2 (Android 14; Moto G Stylus),android-3.1.3,android,Moto G Stylus,False,False,47,1222,full,2548.91,39,0,6561,1,70,34,0,0
fb0eba07-8ae7-41d0-bec8-506b09c2efee,5a95d523-f51b-4bbb-984f-5e3cfb448aa6,device-qQJw-OsQP,6c558be5-c1cc-4082-9d89-f36a8ac2d885,2026-02-05T08:40:49Z,585379,8319,False,350.65,MXN,TOP_UP,TRANSFER,75.254.192.208,False,32.1475,-117.8089,wifi,WalletPlux/3.1.2 (Android 13; Galaxy S23),android-3.1.2,android,Galaxy S23,False,False,38,1353,basic,1135.24,26,0,6391,1,85,24,0,0
9c0354f0-7635-4826-98e8-9ef37f427eb2,516304ba-2673-42ed-b8a5-7dc8b8341e5e,device-Tkbj-THsr,e1f32096-86cd-40c6-a196-65ec0ad3c0a9,2026-02-11T03:32:02Z,476920,9744,False,1840.27,COP,TOP_UP,TRANSFER,91.153.103.77,False,16.6958,-115.1999,cellular,WalletPlux/3.1.2 (Android 11; Pixel 7),android-3.1.4,android,Pixel 7,False,False,42,551,basic,4217.09,4,0,4237,1,68,51,0,0
33ce6ba2-d218-449e-8a26-403640b88658,5dad8910-43b7-4c3f-ad4f-d357a4c76e01,device-kZRK-XDme,c3da83bc-1486-4eb7-a4fa-4faf6326f33c,2026-02-01T19:02:31Z,520657,4680,False,1773.44,MXN,TOP_UP,TRANSFER,102.238.19.88,False,17.4216,-107.5769,wifi,WalletPlux/3.1.2 (iOS 17; iPhone 14 Pro),ios-3.1.4,ios,iPhone 14 Pro,False,False,31,1271,full,9463.56,42,0,8978,0,108,56,1,0
3f10d616-05fb-4ce0-827f-f5b182e8d990,cb6eb1a9-fc96-40da-9d18-399cd87ef7c4,device-nIcI-UYjo,eb185087-716c-4630-962f-1ce81ef2fb75,2026-01-14T16:45:26Z,558639,9079,False,2447.16,MXN,TOP_UP,FINANCIAL_SERVICES,140.111.31.167,False,29.1685,-96.5473,wifi,WalletPlux/3.1.2 (Android 14; Xiaomi 13),android-3.1.1,android,Xiaomi 13,False,False,11,396,basic,2848.63,36,0,4097,0,149,29,0,0
